stock_code,total_number_of_shares,market_value,stock_name,listed_market,wel_delete,enterprise_name,enterprise_id,update_time,gics_code,gics_code4
000403.SZ,708594858.0,26997464113.68,派林生物,1,0,派斯双林生物制药股份有限公司,0,2021-05-13 00:00:00,352020,35202010
000404.SZ,694285915.0,2825743674.7400002,长虹华意,1,0,长虹华意压缩机股份有限公司,26757,2021-05-13 00:00:00,201060,20106020
000407.SZ,870370697.0,3942779258.88,胜利股份,1,0,山东胜利股份有限公司,26758,2021-05-13 00:00:00,551020,55102010
000408.SZ,2192745819.0,31860596761.559998,藏格控股,1,0,藏格控股股份有限公司,880,2021-05-13 00:00:00,151010,15101030
000409.SZ,512056557.0,2324736768.9,山东地矿,1,0,山东地矿股份有限公司,26759,2021-05-13 00:00:00,201070,20107010
000410.SZ,1767360639.0,6786664854.32,*ST沈机,1,1,沈阳机床股份有限公司,27807,2021-05-13 00:00:00,201060,20106020
000411.SZ,255921150.0,3741567223.05,英特集团,1,0,浙江英特集团股份有限公司,26760,2021-05-13 00:00:00,352010,35201010
000413.SZ,5787840571.0,11517802737.179998,东旭光电,1,0,东旭光电科技股份有限公司,26761,2021-05-13 00:00:00,452030,45203015
000415.SZ,6157748462.0,14224398948.599998,渤海租赁,1,0,渤海租赁股份有限公司,26762,2021-05-13 00:00:00,402010,40201040
000416.SZ,533088591.0,2329597143.72,民生控股,1,0,民生控股股份有限公司,27801,2021-05-13 00:00:00,402010,40201040
000417.SZ,764915213.0,3985208262.0,合肥百货,1,0,合肥百货大楼集团股份有限公司,26763,2021-05-13 00:00:00,255030,25503010
000419.SZ,544804189.0,2424378641.3,通程控股,1,0,长沙通程控股股份有限公司,26764,2021-05-13 00:00:00,255030,25503010
000420.SZ,2134849846.0,6916913503.169999,吉林化纤,1,0,吉林化纤股份有限公司,26765,2021-05-13 00:00:00,151010,15101010
000421.SZ,566377077.0,3103746382.28,南京公用,1,0,南京公用发展股份有限公司,26766,2021-05-13 00:00:00,551020,55102010
000422.SZ,896106189.0,4570141564.08,ST宜化,1,1,湖北宜化化工股份有限公司,26767,2021-05-13 00:00:00,151010,15101030
000423.SZ,665819881.0,22145169242.82,东阿阿胶,1,0,东阿阿胶股份有限公司,26768,2021-05-13 00:00:00,352020,35202010
000425.SZ,7822635094.0,55540709168.7,徐工机械,1,0,徐工集团工程机械股份有限公司,26769,2021-05-13 00:00:00,201060,20106010
000426.SZ,1801725187.0,13999404708.779999,兴业矿业,1,0,内蒙古兴业矿业股份有限公司,881,2021-05-13 00:00:00,151040,15104020
000428.SZ,1015596176.0,3107724300.0,华天酒店,1,0,华天酒店集团股份有限公司,26770,2021-05-13 00:00:00,253010,25301020
000429.SZ,2059976545.0,15367425026.1,粤高速A,1,0,广东省高速公路发展股份有限公司,26771,2021-05-13 00:00:00,203050,20305020
000430.SZ,405574354.0,2169822796.96,张家界,1,0,张家界旅游集团股份有限公司,26772,2021-05-13 00:00:00,253010,25301020
000488.SZ,2935464327.0,32348816888.0,晨鸣纸业,1,0,山东晨鸣纸业集团股份有限公司,26773,2021-05-13 00:00:00,151050,15105020
000488.SZ,2935464327.0,32348816888.0,晨鸣纸业,1,0,山东晨鸣纸业集团股份有限公司,26773,2021-05-13 00:00:00,0,0
000498.SZ,1550829442.0,7878213567.18,山东路桥,1,0,山东高速路桥集团股份有限公司,26774,2021-05-13 00:00:00,201030,20103010
000501.SZ,767649512.0,8789586915.33,鄂武商A,1,0,武汉武商集团股份有限公司,882,2021-05-13 00:00:00,255030,25503010
000502.SZ,185499090.0,1009115054.22,*ST绿景,1,1,绿景控股股份有限公司,27802,2021-05-13 00:00:00,601020,60102030
000503.SZ,901918032.0,7855706062.959999,国新健康,1,0,国新健康保障服务集团股份有限公司,27803,2021-05-13 00:00:00,451020,45102020
000504.SZ,305783909.0,5265598926.9,南华生物,1,0,南华生物医药股份有限公司,26775,2021-05-13 00:00:00,352030,35203010
000505.SZ,712319805.0,5662942455.29,京粮控股,1,0,海南京粮控股股份有限公司,26776,2021-05-13 00:00:00,302020,30202010
