,consumption_score,technology_score,medicine_score,emerging_score,macroeconomic_policy_factor,heat_score,heat_growth_score,sentiment_score,public_opinion_factor,delta_v_score,delta_ratio_score,position_score,foreign_shareholder_factor,rev_score,EPS_score,NI_score,ROE_score,institution_expectation_factor,oi_score,tp_score,np_score,npp_score,cfo_score,at_score,it_score,art_score,roe_score,roa_score,gpm_score,sfgr_score,d2a_score,cr_score,cfogr_score,financial_factor
sz002436,1.0534641518193393,0.22620935450898988,0.0,0.0,1.279673506328329,,,,,,,,,0.1481036882393876,0.10643776824034334,0.14367050272562082,0.1526487663280116,0.5508607255333633,0.041012718982481405,0.03545150501672241,0.03631151457238414,0.031907265774378586,0.07063142437591778,0.02614465253819616,0.010905376344086023,0.026095860029571222,0.018120805369127517,0.01906017741548789,0.025659179687500002,0.006057546693589095,0.026409460105112283,0.044628571428571434,0.01292996389891697,0.43132602223204286
sz300136,1.051652271797184,0.882872829399082,0.0,0.46535141510669414,2.39987651630296,,,,,,,,,0.1856471816283925,0.14325375536480686,0.16797395517867958,0.12817489114658925,0.6250497833184682,0.006719462443004559,0.048232202580028666,0.054013377926421406,0.030879541108986615,0.003450807635829662,0.029064070970921636,0.015423655913978497,0.028665598817151305,0.03789549376797699,0.020870294893310957,0.01865234375,0.03369510348308935,0.017942666029622554,0.010750183150183152,0.040203610108303256,0.39645841257880865
sz300223,1.0222748105963162,1.2122851562539831,0.0,0.24180402512050148,2.4763639919708007,,,,,,,,,0.07018093249826027,0.16633583690987122,0.16583888552392487,0.16866835994194485,0.5710240148740012,0.0611471082313415,0.06383182035355948,0.06153846153846154,0.056333652007648186,0.09410181106216349,0.028917693445046824,0.0290731182795699,0.02378634795465747,0.020829338446788113,0.008391273076000958,0.023327636718750003,0.022703180212014135,0.06581079789775443,9.670329670329671e-05,0.008672924187725632,0.5685618667081849
sz002151,1.0036379157021096,0.5709777030464919,0.0,0.2774717731219357,1.852087391870537,,,,,,,,,0.06247390396659708,0.1662687768240343,0.16829194427619623,0.16482220609579099,0.5618568311626186,0.07197024238060955,0.006235069278547539,0.09796942188246537,0.035731357552581264,0.06744982868330886,0.003529324790537211,0.024988530465949826,0.003724494825036964,0.02116490891658677,0.029237592903380485,0.029687500000000002,0.04796819787985866,0.0524562828475872,0.012458608058608059,0.06120288808664261,0.5657742485517004
sz000636,1.0005149523319599,0.22620935450898988,0.0,0.0,1.2267243068409497,0.17209775967413443,0.1955193482688391,,0.36761710794297353,,,,,0.21497912317327766,0.19243562231759653,0.2086008479709267,0.192144412191582,0.8081600056533829,0.061315094792416605,0.013186813186813189,0.0196607740086001,0.004445506692160612,0.0671071953010279,0.009758501724987679,0.02968817204301076,0.009482010842779696,0.008652924256951104,0.036166386957564134,0.0241455078125,0.04096415951539627,0.06059197324414717,0.01838974358974359,0.010277256317689533,0.41383202028578836
sh601231,0.9878229384783056,0.5394722006667931,0.0,0.43782978573164344,1.9651249248767422,,,,,,,,,0.1190501043841336,0.0979077253218884,0.11885221078134464,0.10504354136429608,0.4408535818516627,0.012670986321094313,0.04206880076445294,0.03528428093645485,0.03673518164435947,0.023201174743024966,0.02206234598324298,0.018081003584229392,0.02159068506653524,0.025551294343240657,0.022524574442579718,0.0402587890625,0.02708228167592125,0.04561347348303871,0.02843076923076923,0.04245920577617329,0.44361484705761706
sz002185,0.9836226442503194,0.4778343302657598,0.0,0.0,1.4614569745160793,,,,,,,,,0.13602992345163534,0.10171673819742488,0.12837674136886734,0.13713715529753265,0.5032605583154602,0.06928245740340773,0.04472049689440994,0.05403726708074535,0.05712237093690249,0.08215859030837004,0.010701823558403156,0.02205519713261649,0.010506653523903401,0.03471955896452541,0.0438743706545193,0.048852539062500006,0.026842503785966688,0.012487338748208315,0.03677948717948718,0.04587436823104693,0.6000150234650125
sz300433,0.9654457051518565,0.4809362098962588,0.0,0.4981529749713791,1.9445348900194943,,,,,,,,,0.18422059846903271,0.14258315450643777,0.14550272562083585,0.11834179970972424,0.5906482783060306,0.0023038156947444203,0.015145723841376017,0.015360726230291447,0.033460803059273424,0.07604013705335291,0.029023410547067526,0.015652329749103945,0.028421636274026614,0.021392617449664433,0.028050827139774637,0.03919677734375,0.041115598182735996,0.011336359292881034,0.054379487179487186,0.03777328519855596,0.4486535342360855
sh600183,0.9439154823818879,0.9031713250163906,0.0,0.42324086244530706,2.2703276698435855,,,,,,,,,0.11953723034098818,0.0938841201716738,0.1131435493640218,0.10145137880986937,0.4280162786865532,0.021238300935925127,0.042427138079312,0.04806497849976111,0.05468451242829828,0.044640234948605,0.02744578610152785,0.017410752688172045,0.027323804829965506,0.02641418983700863,0.02483816830496284,0.01768798828125,0.016002019182231198,0.01950358337314859,0.00913846153846154,0.04574729241877257,0.4425672114474023
sh603444,0.9382621840592235,0.0,0.0,0.3032653298563167,1.2415275139155402,,,,,,,,,0.11837160751565762,0.10898605150214592,0.09821320411871592,0.06576560232220609,0.3913364654587255,0.0572354211663067,0.054013377926421406,0.048041089345437174,0.06897705544933079,0.0736417033773862,0.024575160177427308,0.010913261648745521,0.025315179891572205,0.02060162991371045,0.02585710860704867,0.02989501953125,0.02069661786976275,0.0437529861442905,0.03424908424908426,0.038599277978339355,0.5763639732761133
