,stock_code,style
20,sz300685,smallgrowth
21,sz300502,smallgrowth
22,sz300346,smallgrowth
23,sz300236,smallgrowth
24,sz002985,smallgrowth
25,sz002959,smallgrowth
26,sz002867,smallgrowth
27,sz002541,smallgrowth
28,sz002387,smallgrowth
29,sz002110,smallgrowth
30,sz002010,smallgrowth
31,sz000629,smallgrowth
32,sz000403,smallgrowth
33,sz000039,smallgrowth
34,sh603486,smallgrowth
35,sz000035,smallgrowth
36,sz000090,smallgrowth
37,sz000672,smallgrowth
38,sz000690,smallgrowth
39,sz000717,smallgrowth
40,sz000951,smallgrowth
41,sz000959,smallgrowth
42,sz000990,smallgrowth
43,sz002302,smallgrowth
44,sz002382,smallgrowth
45,sz002409,smallgrowth
46,sz002430,smallgrowth
47,sz002568,smallgrowth
48,sz002755,smallgrowth
49,sz300602,smallgrowth
50,sz300682,smallgrowth
51,sz300724,smallgrowth
52,sz300770,smallgrowth
53,sh600171,smallgrowth
54,sh600325,smallgrowth
55,sh600392,smallgrowth
56,sh600486,smallgrowth
57,sh600549,smallgrowth
58,sh600728,smallgrowth
59,sh600732,smallgrowth
60,sh600751,smallgrowth
61,sh600782,smallgrowth
62,sh601069,smallgrowth
63,sh603236,smallgrowth
64,sh603508,smallgrowth
65,sz000967,smallgrowth
66,sz002035,smallgrowth
67,sz002233,smallgrowth
68,sz002310,smallgrowth
69,sz002340,smallgrowth
70,sz002408,smallgrowth
71,sz002458,smallgrowth
72,sz002511,smallgrowth
73,sz002653,smallgrowth
74,sz002745,smallgrowth
75,sz002912,smallgrowth
76,sz002941,smallgrowth
77,sz300463,smallgrowth
78,sz300476,smallgrowth
79,sz300618,smallgrowth
80,sz300766,smallgrowth
81,sz300768,smallgrowth
82,sh600282,smallgrowth
83,sh600507,smallgrowth
84,sh600567,smallgrowth
85,sh600657,smallgrowth
86,sh600667,smallgrowth
87,sh600803,smallgrowth
88,sh603337,smallgrowth
89,sh603379,smallgrowth
90,sh601005,smallgrowth
91,sh601717,smallgrowth
92,sz300073,smallgrowth
93,sh603305,smallgrowth
94,sz000831,smallgrowth
95,sz002648,smallgrowth
96,sz000877,smallgrowth
97,sz000935,smallgrowth
98,sz000062,smallgrowth
99,sh600711,smallgrowth
100,sh600740,smallgrowth
101,sh600755,smallgrowth
102,sz300630,smallgrowth
103,sz000528,smallgrowth
104,sz000830,smallgrowth
105,sh601636,smallgrowth
106,sz000560,smallgrowth
107,sz002677,smallgrowth
108,sz300348,smallgrowth
109,sz002174,smallgrowth
110,sh600348,smallgrowth
111,sz002434,smallgrowth
112,sh603650,smallgrowth
113,sh600330,smallgrowth
114,sz300616,smallgrowth
115,sh600395,smallgrowth
