,macroeconomic_policy_factor,public_opinion_factor,foreign_shareholder_factor,institution_expectation_factor,price_volume_factor,financial_factor,mutual_fund_factor,total_factor,name,update_date
sz000100,0.05820456321308471,0.07769419845593196,0.0,0.06719711825182899,0.10277510216741703,0.09226291839600693,0.00013894662337541735,0.39827284710764504,TCL科技,20210310
sz002056,0.025916004737193746,0.12139821892563148,0.0,0.036851401752905785,0.09194759903709462,0.12129871494994572,0.00025153428717596756,0.39766347368994726,横店东磁,20210310
sz300413,0.12847063782839285,0.0,0.0,0.08469309883227719,0.05178205406982965,0.13263300299041186,0.0,0.39757879372091154,芒果超媒,20210310
sh600446,0.08871350363995971,0.0,0.0,0.08246237013939171,0.13557908609523955,0.08992230758405217,0.0,0.3966772674586432,金证股份,20210310
sh603005,0.0845352476264216,0.0,0.0,0.10425653307905747,0.1218516685583209,0.08394102322528513,0.0010123538598518975,0.395596826348937,晶方科技,20210310
sz000997,0.03873591724330111,0.10487293820883124,0.0,0.08258988652718154,0.09349934034380003,0.07468468864168075,0.00105455656673934,0.39543732753153404,新 大 陆,20210310
sz001914,0.0,0.09078552859868973,0.0,0.11799503510166395,0.09335221834670358,0.092970933472531,0.0,0.3951037155195883,招商积余,20210310
sz002539,0.010649485403514935,0.11269927688113208,0.0,0.07164042860661293,0.0797100094555744,0.12008587866583534,0.0,0.3947850790126697,云图控股,20210310
sz002041,0.0066781760603189435,0.12052561555343291,0.0,0.07169114629142341,0.09231847450435848,0.10242797469752152,0.0,0.39364138710705526,登海种业,20210310
sh603068,0.059864597744377995,0.0,0.0,0.10996180912225748,0.1208424645202641,0.09399025904519513,0.008734880745828509,0.3933940111779232,博通集成,20210310
sh603456,0.04082108859595144,0.0,0.0,0.10637372786015542,0.1168552817093047,0.12834251631589427,0.0005718539798312344,0.3929644684611371,九洲药业,20210310
sz000155,0.02129897080702987,0.1081457707445207,0.0,0.09332194527581628,0.10268209053775482,0.06705501860993775,0.0,0.3925037959750594,川能动力,20210310
sz002036,0.05630615235501745,0.06702191844824901,0.0,0.1035320138054116,0.09244190082556698,0.06939615051028433,0.001632018364239966,0.3903301543087694,联创电子,20210310
sh600363,0.08332668030849107,0.0,0.0,0.07260486496520167,0.13676785935846916,0.09757786080707594,0.0,0.39027726543923785,联创光电,20210310
sh600549,0.06949012267213699,0.0,0.0,0.07136936955746724,0.1339328791447422,0.11476959368854837,0.0,0.3895619650628948,厦门钨业,20210310
sh600316,0.044220987154996276,0.0,0.0,0.10823525020593412,0.13754461184803127,0.09919317484019465,0.0,0.38919402404915626,洪都航空,20210310
sz002028,0.02129897080702987,0.10344996754114019,0.0,0.07956210895180828,0.09263917789989284,0.091790426289237,0.0,0.3887406514891082,思源电气,20210310
sh600066,0.038925829252830196,0.0,0.0,0.115289019038341,0.14190946226049267,0.09142973553013548,0.0,0.38755404608179933,宇通客车,20210310
sz002371,0.07905600684368655,0.0,0.0,0.1264569427339729,0.08408595945963832,0.09669065880643975,0.0003292218658043614,0.3866187897095419,北方华创,20210310
sh600456,0.06557461611787939,0.0,0.0,0.09397785496591968,0.13547642169165316,0.08874582098175957,0.0024645212581245585,0.3862392350153363,宝钛股份,20210310
sz000157,0.029289776376902114,0.09092782566545883,0.0,0.06485597068184962,0.10263556803918933,0.0984906198246215,0.0,0.38619976058802136,中联重科,20210310
sh688008,0.08519588322811948,0.0,0.0,0.11857661976774433,0.10916000327051527,0.0715067075708187,0.0007993917908802331,0.38523860562807805,澜起科技,20210310
sz002025,0.017327661463833875,0.06659502724794167,0.0,0.09771201264895006,0.09271309205559697,0.10788297240040452,0.0029932455874486273,0.3852240114041757,航天电器,20210310
sh600745,0.08541396478723093,0.0,0.0,0.10004315630375481,0.130345858678229,0.06881963540843503,9.054259065696693e-05,0.3847131577683067,闻泰科技,20210310
sz000807,0.0,0.08182081339223604,0.0,0.08730593302156808,0.09667863238654734,0.11877870454478816,0.0,0.38458408334513966,云铝股份,20210310
sh600183,0.09998932552568747,0.0,0.0,0.06582272284721824,0.13986519765589436,0.0775685058817004,0.00031678315588557095,0.38356253506638605,生益科技,20210310
sh601689,0.028442280938995798,0.0,0.0,0.10888843345337368,0.12349734730756141,0.1204605159341548,0.0,0.3812885776340857,拓普集团,20210310
sz002236,0.10039924370878538,0.0,0.0,0.06977553506203896,0.08749935494089751,0.12343693121000139,5.934664387216895e-05,0.3811704115655954,大华股份,20210310
